time,percent sheltering,percent wearing masks,infected,        exposed,recovered,infected with mask,susceptible with mask,        infected symptomatic,infected asymptomatic,new infected,percent asymptomatic,day,daily newly infected,total infected
0,1,0.2,0.4,0,1,0,0,190,0,0,0,4,0,0.0,0.0
1,2,0.2,0.4,0,1,0,0,190,0,0,0,4,0,0.0,0.0
2,3,0.2,0.4,0,1,0,0,190,0,0,0,4,0,0.0,0.0
3,4,0.2,0.4,0,1,0,0,190,0,0,0,4,0,0.0,0.0
4,5,0.2,0.4,0,1,0,0,190,0,0,0,4,0,0.0,0.0
5,6,0.2,0.4,0,1,0,0,190,0,0,0,4,0,0.0,0.0
6,7,0.2,0.4,0,1,0,0,190,0,0,0,4,0,0.0,0.0
7,8,0.2,0.4,0,1,0,0,190,0,0,0,4,0,0.0,0.0
8,9,0.2,0.4,0,1,0,0,190,0,0,0,4,0,0.0,0.0
9,10,0.2,0.4,0,1,0,0,190,0,0,0,4,0,0.0,0.0
10,11,0.2,0.4,0,1,0,0,190,0,0,0,4,0,0.0,0.0
11,12,0.2,0.4,0,1,0,0,190,0,0,0,4,0,0.0,0.0
12,13,0.2,0.4,0,1,0,0,190,0,0,0,4,0,0.0,0.0
13,14,0.2,0.4,0,1,0,0,190,0,0,0,4,0,0.0,0.0
14,15,0.2,0.4,0,1,0,0,190,0,0,0,4,0,0.0,0.0
15,16,0.2,0.4,0,1,0,0,190,0,0,0,4,0,0.0,0.0
16,17,0.2,0.4,0,1,0,0,190,0,0,0,4,0,0.0,0.0
17,18,0.2,0.4,0,1,0,0,190,0,0,0,4,0,0.0,0.0
18,19,0.2,0.4,0,1,0,0,190,0,0,0,4,0,0.0,0.0
19,20,0.2,0.4,0,1,0,0,190,0,0,0,4,0,0.0,0.0
20,21,0.2,0.4,0,1,0,0,190,0,0,0,4,0,0.0,0.0
21,22,0.2,0.4,0,1,0,0,190,0,0,0,4,0,0.0,0.0
22,23,0.2,0.4,0,1,0,0,190,0,0,0,4,0,0.0,0.0
23,24,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
24,25,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
25,26,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
26,27,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
27,28,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
28,29,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
29,30,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
30,31,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
31,32,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
32,33,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
33,34,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
34,35,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
35,36,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
36,37,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
37,38,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
38,39,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
39,40,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
40,41,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
41,42,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
42,43,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
43,44,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
44,45,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
45,46,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
46,47,0.2,0.4,0,1,0,0,190,0,0,0,4,1,0.0,0.0
47,48,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
48,49,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
49,50,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
50,51,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
51,52,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
52,53,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
53,54,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
54,55,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
55,56,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
56,57,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
57,58,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
58,59,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
59,60,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
60,61,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
61,62,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
62,63,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
63,64,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
64,65,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
65,66,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
66,67,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
67,68,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
68,69,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
69,70,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
70,71,0.2,0.4,0,1,0,0,190,0,0,0,4,2,0.0,0.0
71,72,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
72,73,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
73,74,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
74,75,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
75,76,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
76,77,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
77,78,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
78,79,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
79,80,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
80,81,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
81,82,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
82,83,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
83,84,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
84,85,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
85,86,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
86,87,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
87,88,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
88,89,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
89,90,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
90,91,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
91,92,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
92,93,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
93,94,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
94,95,0.2,0.4,0,1,0,0,190,0,0,0,4,3,0.0,0.0
95,96,0.2,0.4,0,1,0,0,190,0,0,0,4,4,0.0,0.0
96,97,0.2,0.4,0,1,0,0,190,0,0,0,4,4,1.0,1.0
97,98,0.2,0.4,0,1,0,0,190,0,0,0,4,4,1.0,1.0
98,99,0.2,0.4,0,1,0,0,190,0,0,0,4,4,1.0,1.0
99,100,0.2,0.4,0,1,0,0,190,0,0,0,4,4,1.0,1.0
100,101,0.2,0.4,0,1,0,0,190,0,0,0,4,4,1.0,1.0
101,102,0.2,0.4,0,1,0,0,190,0,0,0,4,4,1.0,1.0
102,103,0.2,0.4,0,1,0,0,190,0,0,0,4,4,1.0,1.0
103,104,0.2,0.4,0,1,0,0,190,0,0,0,4,4,1.0,1.0
104,105,0.2,0.4,0,1,0,0,190,0,0,0,4,4,1.0,1.0
105,106,0.2,0.4,0,1,0,0,190,0,0,0,4,4,1.0,1.0
106,107,0.2,0.4,0,1,0,0,190,0,0,0,4,4,1.0,1.0
107,108,0.2,0.4,0,1,0,0,190,0,0,0,4,4,1.0,1.0
108,109,0.2,0.4,0,1,0,0,190,0,0,0,4,4,1.0,1.0
109,110,0.2,0.4,0,1,0,0,190,0,0,0,4,4,1.0,1.0
110,111,0.2,0.4,1,0,0,0,190,1,0,1,4,4,1.0,1.0
111,112,0.2,0.4,1,0,0,0,190,1,0,0,4,4,1.0,1.0
112,113,0.2,0.4,1,0,0,0,190,1,0,0,4,4,1.0,1.0
113,114,0.2,0.4,1,2,0,0,189,1,0,0,4,4,1.0,1.0
114,115,0.2,0.4,1,2,0,0,189,1,0,0,4,4,1.0,1.0
115,116,0.2,0.4,1,2,0,0,189,1,0,0,4,4,1.0,1.0
116,117,0.2,0.4,1,3,0,0,189,1,0,0,4,4,1.0,1.0
117,118,0.2,0.4,1,3,0,0,189,1,0,0,4,4,1.0,1.0
118,119,0.2,0.4,1,3,0,0,189,1,0,0,4,4,1.0,1.0
119,120,0.2,0.4,1,3,0,0,189,1,0,0,4,5,1.0,1.0
120,121,0.2,0.4,1,3,0,0,189,1,0,0,4,5,0.0,1.0
121,122,0.2,0.4,1,3,0,0,189,1,0,0,4,5,0.0,1.0
122,123,0.2,0.4,0,3,1,0,189,0,0,0,4,5,0.0,1.0
123,124,0.2,0.4,0,3,1,0,189,0,0,0,4,5,0.0,1.0
124,125,0.2,0.4,0,3,1,0,189,0,0,0,4,5,0.0,1.0
125,126,0.2,0.4,0,3,1,0,189,0,0,0,4,5,0.0,1.0
126,127,0.2,0.4,0,3,1,0,189,0,0,0,4,5,0.0,1.0
127,128,0.2,0.4,0,3,1,0,189,0,0,0,4,5,0.0,1.0
128,129,0.2,0.4,0,3,1,0,189,0,0,0,4,5,0.0,1.0
129,130,0.2,0.4,0,3,1,0,189,0,0,0,4,5,0.0,1.0
130,131,0.2,0.4,0,3,1,0,189,0,0,0,4,5,0.0,1.0
131,132,0.2,0.4,0,3,1,0,189,0,0,0,4,5,0.0,1.0
132,133,0.2,0.4,0,3,1,0,189,0,0,0,4,5,0.0,1.0
133,134,0.2,0.4,0,3,1,0,189,0,0,0,4,5,0.0,1.0
134,135,0.2,0.4,0,3,1,0,189,0,0,0,4,5,0.0,1.0
135,136,0.2,0.4,0,3,1,0,189,0,0,0,4,5,0.0,1.0
136,137,0.2,0.4,0,3,1,0,189,0,0,0,4,5,0.0,1.0
137,138,0.2,0.4,0,3,1,0,189,0,0,0,4,5,0.0,1.0
138,139,0.2,0.4,0,3,1,0,189,0,0,0,4,5,0.0,1.0
139,140,0.2,0.4,0,3,1,0,189,0,0,0,4,5,0.0,1.0
140,141,0.2,0.4,0,3,1,0,189,0,0,0,4,5,0.0,1.0
141,142,0.2,0.4,0,3,1,0,189,0,0,0,4,5,0.0,1.0
142,143,0.2,0.4,0,3,1,0,189,0,0,0,4,5,0.0,1.0
143,144,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
144,145,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
145,146,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
146,147,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
147,148,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
148,149,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
149,150,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
150,151,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
151,152,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
152,153,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
153,154,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
154,155,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
155,156,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
156,157,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
157,158,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
158,159,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
159,160,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
160,161,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
161,162,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
162,163,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
163,164,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
164,165,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
165,166,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
166,167,0.2,0.4,0,3,1,0,189,0,0,0,4,6,0.0,1.0
167,168,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
168,169,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
169,170,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
170,171,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
171,172,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
172,173,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
173,174,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
174,175,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
175,176,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
176,177,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
177,178,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
178,179,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
179,180,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
180,181,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
181,182,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
182,183,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
183,184,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
184,185,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
185,186,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
186,187,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
187,188,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
188,189,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
189,190,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
190,191,0.2,0.4,0,3,1,0,189,0,0,0,4,7,0.0,1.0
191,192,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
192,193,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
193,194,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
194,195,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
195,196,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
196,197,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
197,198,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
198,199,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
199,200,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
200,201,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
201,202,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
202,203,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
203,204,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
204,205,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
205,206,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
206,207,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
207,208,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
208,209,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
209,210,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
210,211,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
211,212,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
212,213,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
213,214,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
214,215,0.2,0.4,0,3,1,0,189,0,0,0,4,8,0.0,1.0
215,216,0.2,0.4,0,3,1,0,189,0,0,0,4,9,0.0,1.0
216,217,0.2,0.4,0,3,1,0,189,0,0,0,4,9,3.0,4.0
217,218,0.2,0.4,0,3,1,0,189,0,0,0,4,9,3.0,4.0
218,219,0.2,0.4,0,3,1,0,189,0,0,0,4,9,3.0,4.0
219,220,0.2,0.4,0,3,1,0,189,0,0,0,4,9,3.0,4.0
220,221,0.2,0.4,0,3,1,0,189,0,0,0,4,9,3.0,4.0
221,222,0.2,0.4,0,3,1,0,189,0,0,0,4,9,3.0,4.0
222,223,0.2,0.4,0,3,1,0,189,0,0,0,4,9,3.0,4.0
223,224,0.2,0.4,0,3,1,0,189,0,0,0,4,9,3.0,4.0
224,225,0.2,0.4,0,3,1,0,189,0,0,0,4,9,3.0,4.0
225,226,0.2,0.4,0,3,1,0,189,0,0,0,4,9,3.0,4.0
226,227,0.2,0.4,0,3,1,0,189,0,0,0,4,9,3.0,4.0
227,228,0.2,0.4,0,3,1,0,189,0,0,0,4,9,3.0,4.0
228,229,0.2,0.4,0,3,1,0,189,0,0,0,4,9,3.0,4.0
229,230,0.2,0.4,0,3,1,0,189,0,0,0,4,9,3.0,4.0
230,231,0.2,0.4,0,3,1,0,189,0,0,0,4,9,3.0,4.0
231,232,0.2,0.4,0,3,1,0,189,0,0,0,4,9,3.0,4.0
232,233,0.2,0.4,0,3,1,0,189,0,0,0,4,9,3.0,4.0
233,234,0.2,0.4,0,3,1,0,189,0,0,0,4,9,3.0,4.0
234,235,0.2,0.4,0,3,1,0,189,0,0,0,4,9,3.0,4.0
235,236,0.2,0.4,2,1,1,1,189,0,2,2,4,9,3.0,4.0
236,237,0.2,0.4,2,1,1,1,189,0,2,0,4,9,3.0,4.0
237,238,0.2,0.4,2,1,1,1,189,0,2,0,4,9,3.0,4.0
238,239,0.2,0.4,3,0,1,1,189,0,3,1,4,9,3.0,4.0
239,240,0.2,0.4,3,0,1,1,189,0,3,0,4,10,3.0,4.0
240,241,0.2,0.4,3,0,1,1,189,0,3,0,4,10,0.0,4.0
241,242,0.2,0.4,3,0,1,1,189,0,3,0,4,10,0.0,4.0
242,243,0.2,0.4,3,0,1,1,189,0,3,0,4,10,0.0,4.0
243,244,0.2,0.4,3,0,1,1,189,0,3,0,4,10,0.0,4.0
244,245,0.2,0.4,3,0,1,1,189,0,3,0,4,10,0.0,4.0
245,246,0.2,0.4,3,0,1,1,189,0,3,0,4,10,0.0,4.0
246,247,0.2,0.4,3,0,1,1,189,0,3,0,4,10,0.0,4.0
247,248,0.2,0.4,3,0,1,1,189,0,3,0,4,10,0.0,4.0
248,249,0.2,0.4,3,0,1,1,189,0,3,0,4,10,0.0,4.0
249,250,0.2,0.4,3,0,1,1,189,0,3,0,4,10,0.0,4.0
250,251,0.2,0.4,3,0,1,1,189,0,3,0,4,10,0.0,4.0
251,252,0.2,0.4,3,0,1,1,189,0,3,0,4,10,0.0,4.0
252,253,0.2,0.4,3,0,1,1,189,0,3,0,4,10,0.0,4.0
253,254,0.2,0.4,3,0,1,1,189,0,3,0,4,10,0.0,4.0
254,255,0.2,0.4,3,0,1,1,189,0,3,0,4,10,0.0,4.0
255,256,0.2,0.4,3,0,1,1,189,0,3,0,4,10,0.0,4.0
256,257,0.2,0.4,3,0,1,1,189,0,3,0,4,10,0.0,4.0
